Downloaded from FDA Substances Added to Food <em>(formerly EAFUS)</em>; http://www.cfsanappsexternal.fda.gov/scripts/fdcc/?set=FoodSubstances; Last updated 5/19/2021; downloaded 9/28/2021.

"It is important to note that the inventory is only a partial list of food ingredients. Inclusion in this inventory of information from non-FDA entities does not indicate an FDA approval or evaluation of this use.  Always check the FDA regulations."

CAS Reg No (or other ID),Substance,Other Names,Used for (Technical Effect),Reg col01,Reg col02,Reg col03,Reg col04,Reg col05,Reg col06,Reg add01,Reg add02,Reg add03,Reg add04,Reg add05,Reg add06,Reg add07,Reg add08,Reg add09,Reg add10,Reg add11,Reg add12,Reg add13,Reg add14,Reg add16,Reg add17,Reg add18,Reg add19,Reg add20,Reg prohibited189,Reg Administrative,regs Labeling & Standards ,FEMA No,GRAS Pub No,Most Recent GRAS Pub Update,FEMA status,JECFA Flavor Number
" 5396-89-4"," BENZYL ACETOACETATE"," &diams; BENZYL ACETOACETATE<br />&diams; BENZYL ACETYLACETATE<br />&diams; BENZYL BETA-KETOBUTYRATE<br />&diams; BENZYL 3-OXOBUTANOATE<br />&diams; BUTANOIC ACID, 3-OXO-, PHENYLMETHYL ESTER<br />&diams; PHENYLMETHYL 3-OXOBUTANOATE<br />&diams; ACETOACETIC ACID, BENZYL ESTER"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2136"),=T("3"),=T("25"),,=T("848")
" 100-51-6"," BENZYL ALCOHOL"," &diams; BENZYL ALCOHOL<br />&diams; ALPHA-HYDROXYTOLUENE<br />&diams; PHENYLCARBINOL<br />&diams; PHENYLMETHANOL<br />&diams; PHENYLMETHYL ALCOHOL<br />&diams; BENZENEMETHANOL<br />&diams; BENZENECARBINOL<br />&diams; (hydroxymethyl)benzene<br />&diams; toluenol, alpha-"," FLAVORING AGENT OR ADJUVANT,<br /> SOLVENT OR VEHICLE",=T("73.1001"),,,,,,=T("172.515"),=T("175.105"),=T("175.300"),=T("177.1210"),,,,,,,,,,,,,,,,,,,=T("2137"),=T("3"),,,=T("25")
" 120-51-4"," BENZYL BENZOATE"," &diams; BENZYL BENZOATE<br />&diams; BENZYL BENZENECARBOXYLATE<br />&diams; BENZYL PHENYLFORMATE<br />&diams; BENZOIC ACID, PHENYLMETHYL ESTER<br />&diams; PHENYLMETHYL BENZOATE<br />&diams; BENZOIC ACID, BENZYL ESTER"," FLAVORING AGENT OR ADJUVANT,<br /> SOLVENT OR VEHICLE",,,,,,,=T("172.515"),=T("175.105"),,,,,,,,,,,,,,,,,,,,,=T("2138"),=T("3"),,,=T("24")
" 588-67-0"," BENZYL BUTYL ETHER"," &diams; BENZYL BUTYL ETHER<br />&diams; BUTYL BENZYL ETHER<br />&diams; BENZENE, (BUTOXYMETHYL)-<br />&diams; (BUTOXYMETHYL)BENZENE<br />&diams; ETHER, BENZYL BUTYL"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2139"),=T("3"),,,=T("1253")
" 103-37-7"," BENZYL BUTYRATE"," &diams; BENZYL BUTYRATE<br />&diams; PHENYLMETHYL BUTYRATE<br />&diams; BENZYL BUTANOATE<br />&diams; BUTANOIC ACID, PHENYLMETHYL ESTER<br />&diams; BUTYRIC ACID, BENZYL ESTER<br />&diams; PHENYLMETHYL BUTANOATE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2140"),=T("3"),,,=T("843")
" 103-41-3"," BENZYL CINNAMATE"," &diams; BENZYL CINNAMATE<br />&diams; BENZYL GAMMA-PHENYLACRYLATE<br />&diams; BENZYL 3-PHENYLPROPENOATE<br />&diams; CINNAMEIN<br />&diams; PHENYLMETHYL 3-PHENYL-2-PROPENOATE<br />&diams; 2-PROPENOIC ACID, 3-PHENYL-, PHENYLMETHYL ESTER<br />&diams; CINNAMIC ACID, BENZYL ESTER"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2142"),=T("3"),,,=T("670")
" 7492-69-5"," BENZYL 2,3-DIMETHYLCROTONATE"," &diams; BENZYL 2,3-DIMETHYLCROTONATE<br />&diams; BENZYL METHYLTIGLATE<br />&diams; BENZYL 2,3-DIMETHYL-2-BUTENOATE<br />&diams; CROTONIC ACID, 2,3-DIMETHYL-, BENZYL ESTER<br />&diams; PHENYLMETHYL 2,3-DIMETHYL-2-BUTENOATE<br />&diams; 2-BUTENOIC ACID, 2,3-DIMETHYL-, PHENYLMETHYL ESTER"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2143"),=T("3"),,,=T("847")
" 150-60-7"," BENZYL DISULFIDE"," &diams; BENZYL DISULFIDE<br />&diams; DIBENZYL DISULFIDE<br />&diams; ALPHA-(BENZYLDITHIO)TOLUENE<br />&diams; BDS<br />&diams; DI(PHENYLMETHYL) DISULFIDE<br />&diams; 1,4-DIPHENYL-2,3-DITHIOBUTANE<br />&diams; DISULFIDE, BIS(PHENYLMETHYL)<br />&diams; BIS(PHENYLMETHYL) DISULFIDE<br />&diams; BENZYL BISULFIDE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("3617"),=T("12"),,,=T("579")
" 539-30-0"," BENZYL ETHYL ETHER"," &diams; BENZYL ETHYL ETHER<br />&diams; ETHYL BENZYL ETHER<br />&diams; BENZENE, (ETHOXYMETHYL)-<br />&diams; (ETHOXYMETHYL)BENZENE<br />&diams; ETHER, BENZYL ETHYL<br />&diams; benzyl ethyl oxide"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2144"),=T("3"),,,=T("1252")
" 104-57-4"," BENZYL FORMATE"," &diams; BENZYL FORMATE<br />&diams; PHENYLMETHYL FORMATE<br />&diams; BENZYL METHANOATE<br />&diams; FORMIC ACID, PHENYLMETHYL ESTER<br />&diams; FORMIC ACID, BENZYL ESTER<br />&diams; benzyl alcohol formate"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2145"),=T("3"),,,=T("841")
" 7492-37-7"," 3-BENZYL-4-HEPTANONE"," &diams; 3-BENZYL-4-HEPTANONE<br />&diams; BENZYL DIPROPYL KETONE<br />&diams; MORELLONE<br />&diams; 4-HEPTANONE, 3-(PHENYLMETHYL)-<br />&diams; 3-(PHENYLMETHYL)-4-HEPTANONE<br />&diams; 4-HEPTANONE, 3-BENZYL-<br />&diams; 1-BENZYLDIPROPYL KETONE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2146"),=T("3"),,,=T("830")
" 6938-45-0"," BENZYL HEXANOATE"," &diams; BENZYL HEXANOATE<br />&diams; hexanoic acid, phenylmethyl ester<br />&diams; hexanoic acid, benzyl ester<br />&diams; benzyl caproate"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4026"),=T("21"),,,=T("2061")
" 103-28-6"," BENZYL ISOBUTYRATE"," &diams; BENZYL ISOBUTYRATE<br />&diams; BENZYL 2-METHYLPROPANOATE<br />&diams; PROPANOIC ACID, 2-METHYL-, PHENYLMETHYL ESTER<br />&diams; PHENYLMETHYL 2-METHYLPROPANOATE<br />&diams; ISOBUTYRIC ACID, BENZYL ESTER<br />&diams; BENZYL ISOBUTANOATE<br />&diams; BENZYL 2-METHYLPROPIONATE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2141"),=T("3"),=T("25"),,=T("844")
" 622-78-6"," BENZYL ISOTHIOCYANATE"," &diams; BENZYL ISOTHIOCYANATE<br />&diams; BENZYL MUSTARD OIL<br />&diams; BENZENE, (ISOTHIOCYANATOMETHYL)-<br />&diams; (ISOTHIOCYANATOMETHYL)BENZENE<br />&diams; ISOTHIOCYANIC ACID, BENZYL ESTER<br />&diams; PHENYLMETHYL ISOTHIOCYANATE<br />&diams; InChI=1S/C8H7NS/c10-7-9-6-8-4-2-1-3-5-8/h1-5H,6H2<br />&diams; InChIKey: MDKCFLQDBWCQCV-UHFFFAOYSA-N"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4428"),=T("23"),,,=T("1562")
" 103-38-8"," BENZYL ISOVALERATE"," &diams; BENZYL ISOVALERATE<br />&diams; BENZYL ISOPENTANOATE<br />&diams; BENZYL ISOVALERIANATE<br />&diams; BENZYL 3-METHYLBUTANOATE<br />&diams; BENZYL 3-METHYLBUTYRATE<br />&diams; BUTANOIC ACID, 3-METHYL-, PHENYLMETHYL ESTER<br />&diams; PHENYLMETHYL 3-METHYLBUTANOATE<br />&diams; ISOVALERIC ACID, BENZYL ESTER"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2152"),=T("3"),=T("25"),,=T("845")
" 6939-75-9"," BENZYL LEVULINATE"," &diams; BENZYL LEVULINATE<br />&diams; pentanoic acid, 4-oxo-, phenylmethyl ester<br />&diams; phenylmethyl 4-oxopentanoate<br />&diams; benzyl 4-oxovalerate"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4623"),=T("24"),,,=T("2064")
" 100-53-8"," BENZYL MERCAPTAN"," &diams; THIOBENZYL ALCOHOL<br />&diams; ALPHA-TOLUENETHIOL<br />&diams; BENZENEMETHANETHIOL<br />&diams; BENZYL HYDROSULFIDE<br />&diams; BENZYLTHIOL<br />&diams; ALPHA-MERCAPTOTOLUENE<br />&diams; PHENYLMETHANETHIOL<br />&diams; BENZYL MERCAPTAN<br />&diams; PHENYLMETHYL MERCAPTAN"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2147"),=T("3"),,,=T("526")
" 7492-39-9"," BENZYL METHOXYETHYL ACETAL"," &diams; BENZYL 2-METHOXYETHYL ACETAL<br />&diams; ACETALDEHYDE BENZYL BETA-METHOXYETHYL ACETAL<br />&diams; BENZYL METHOXYETHYL ACETAL<br />&diams; BENZENE, ((1-(2-METHOXYETHOXY)ETHOXY)METHYL)-<br />&diams; ((1-(2-METHOXYETHOXY)ETHOXY)METHYL)BENZENE<br />&diams; ACETALDEHYDE, BENZYL 2-METHOXYETHYL ACETAL<br />&diams; ACETALDEHYDE BENZYL 2-METHOXYETHYL ACETAL<br />&diams; 1-BENZOXY-1-(2-METHOXYETHOXY)ETHANE<br />&diams; 1-BENZYLOXY-1-(BETA-METHOXY)ETHOXYETHANE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2148"),=T("3"),,,=T("840")
" 37526-88-8"," BENZYL TRANS-2-METHYL-2-BUTENOATE"," &diams; BENZYL TIGLATE<br />&diams; BENZYL TRANS-2-METHYL-2-BUTENOATE<br />&diams; 2-BUTENOIC ACID, 2-METHYL-, PHENYLMETHYL ESTER, (E)-<br />&diams; PHENYLMETHYL 2-METHYL-2-BUTENOATE, (E)-<br />&diams; BENZYL TRANS-2,3-DIMETHYLACRYLATE<br />&diams; BENZYL TRANS-2-METHYLCROTONATE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3330"),=T("6"),,,=T("846")
" 766-92-7"," BENZYL METHYL SULFIDE"," &diams; BENZYL METHYL SULFIDE<br />&diams; ALPHA-(METHYLTHIO)TOLUENE<br />&diams; BENZENE, ((METHYLTHIO)METHYL)-<br />&diams; ((METHYLTHIO)METHYL)BENZENE<br />&diams; METHYL BENZYL SULFIDE<br />&diams; METHYLTHIOMETHYLBENZENE<br />&diams; SULFIDE, BENZYL METHYL<br />&diams; 1-PHENYL-2-THIAPROPANE"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3597"),=T("12"),,,=T("460")
" 6471-66-5"," BENZYL NONANOATE"," &diams; BENZYL NONANOATE<br />&diams; nonanoic acid, phenylmethyl ester<br />&diams; phenylmethyl nonanoate<br />&diams; nonanoic acid, benzyl ester"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4626"),=T("24"),,,=T("2066")
" 102-16-9"," BENZYL PHENYLACETATE"," &diams; BENZYL PHENYLACETATE<br />&diams; BENZYL ALPHA-TOLUATE<br />&diams; BENZENEACETIC ACID, PHENYLMETHYL ESTER<br />&diams; PHENYLMETHYL BENZENEACETATE<br />&diams; ACETIC ACID, PHENYL-, BENZYL ESTER<br />&diams; BENZYL BENZENEACETATE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2149"),=T("3"),,,=T("849")
" 122-63-4"," BENZYL PROPIONATE"," &diams; BENZYL PROPIONATE<br />&diams; PHENYLMETHYL PROPIONATE<br />&diams; BENZYL PROPANOATE<br />&diams; PROPANOIC ACID, PHENYLMETHYL ESTER<br />&diams; PHENYLMETHYL PROPANOATE<br />&diams; PROPIONIC ACID, BENZYL ESTER"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2150"),=T("3"),=T("25"),,=T("842")
" 118-58-1"," BENZYL SALICYLATE"," &diams; BENZYL SALICYLATE<br />&diams; BENZYL O-HYDROXYBENZOATE<br />&diams; BENZOIC ACID, 2-HYDROXY-, PHENYLMETHYL ESTER<br />&diams; PHENYLMETHYL 2-HYDROXYBENZOATE<br />&diams; SALICYCLIC ACID, BENZYL ESTER"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2151"),=T("3"),=T("25"),,=T("904")
" 8007-75-8"," BERGAMOT, OIL (CITRUS AURANTIUM L. SUBSP. BERGAMIA WRIGHT ET ARN.)"," &diams; BERGAMOT OIL<br />&diams; BERGAMOT ORANGE OIL<br />&diams; OILS, BERGAMOT<br />&diams; CITRUS AURANTIUM BERGAMIA OIL"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("182.20"),,,,,,,,,,,,,,,,,,,,,,=T("2153"),=T("3"),,,
" 107-43-7"," BETAINE"," &diams; BETAINE<br />&diams; METHANAMINIUM, 1-CARBOXY-N,N,N-TRIMETHYL-, INNER SALT<br />&diams; 1-CARBOXY-N,N,N-TRIMETHYLMETHANAMINIUM HYDROXIDE INNER SALT<br />&diams; (CARBOXYMETHYL)TRIMETHYLAMMONIUM HYDROXIDE INNER SALT<br />&diams; GLYCINE BETAINE<br />&diams; GLYCOCOLL BETAINE<br />&diams; LYCINE<br />&diams; OXYNEURINE<br />&diams; TRIMETHYLGLYCINE<br />&diams; BETAINE, ANHYDROUS<br />&diams; ammonium compounds, substituted, (carboxymethyl)trimethyl-, hydroxide, inner salt<br />&diams; (trimethylammonio)acetate<br />&diams; glycylbetaine<br />&diams; N,N,N-trimethylglycine<br />&diams; trimethylglycocoll<br />&diams; InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3<br />&diams; InChIKey: KWIUHFFTVRNATP-UHFFFAOYSA-N <br />&diams;"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4223"),=T("22"),,,
" 58-85-5"," BIOTIN"," &diams; BIOTIN<br />&diams; BIOTIN, D-<br />&diams; COENZYME R<br />&diams; TETRAHYDRO-2-OXOTHIENO(3,4-D)IMIDAZOLINE-4-VALERIC ACID, CIS-<br />&diams; VITAMIN H<br />&diams; BIOTIN, (+)-<br />&diams; 1H-THIENO(3,4-D)IMIDAZOLE-4-PENTANOIC ACID, HEXAHYDRO-2-OXO-, (3AS-(3AALPHA,4BETA,6AALPHA))-<br />&diams; HEXAHYDRO-2-OXO-1H-THIENO(3,4-D)IMIDAZOLE-4-PENTANOIC ACID, (3AS-(3AALPHA,4BETA,6AALPHA))-"," NUTRIENT SUPPLEMENT,<br /> SEQUESTRANT",,,,,,,=T("182.8159"),,,,,,,,,,,,,,,,,,,,," 101.9 ,  107.100",,,,,
" 92-52-4"," BIPHENYL"," &diams; BIPHENYL<br />&diams; DIPHENYL<br />&diams; PHENYLBENZENE<br />&diams; 1,1'-BIPHENYL<br />&diams; 1,1'-DIPHENYL<br />&diams; BIBENZENE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,=T("178.2010"),,,,,,,,,,,,,,,,,,,,,,=T("3129"),=T("4"),,,=T("1332")
" 68917-50-0"," BIRCH, SWEET, OIL (BETULA LENTA L.)"," &diams; SWEET BIRCH OIL<br />&diams; BIRCH OIL, SWEET<br />&diams; OILS, SWEET BIRCH<br />&diams; BETULA LENTA OIL<br />&diams; BLACK BIRCH OIL<br />&diams; BIRCH, SWEET, OIL"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("2154"),=T("3"),,,
" 8001-88-5"," BIRCH TAR, OIL (BETULA PENDULA ROTH AND RELATED BETULA SPP.)"," &diams; BIRCH TAR OIL<br />&diams; BIRCH TAR OIL, RECTIFIED<br />&diams; BETULA PENDULA OIL<br />&diams; OILS, BIRCH-TAR"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,,,,,
" 495-62-5"," BISABOLENE"," &diams; BISABOLENE<br />&diams; BISABOLENE, GAMMA-<br />&diams; CYCLOHEXENE, 4-(1,5-DIMETHYL-4-HEXENYLIDENE)-1-METHYL-<br />&diams; 4-(1,5-DIMETHYL-4-HEXENYLIDENE)-1-METHYLCYCLOHEXENE<br />&diams; 2-HEPTENE, 2-METHYL-6-(4-METHYL-3-CYCLOHEXEN-1-YLIDENE)-<br />&diams; 2-METHYL-6-(4-METHYL-3-CYCLOHEXEN-1-YLIDENE)-2-HEPTENE<br />&diams; 1-METHYL-4-(1,5-DIMETHYL-4-HEXENYLIDENE)-1-CYCLOHEXENE"," ANTIMICROBIAL AGENT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3331"),=T("6"),=T("25"),,=T("1336")
" 28588-73-0"," BIS(2,5-DIMETHYL-3-FURYL) DISULFIDE"," &diams; BIS(2,5-DIMETHYL-3-FURYL) DISULFIDE<br />&diams; FURAN, 3,3'-DITHIOBIS(2,5-DIMETHYL-<br />&diams; 3,3'-DITHIOBIS(2,5-DIMETHYLFURAN)"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3476"),=T("9"),,,=T("1067")
" 53897-60-2"," BIS(1-MERCAPTOPROPYL)SULFIDE"," &diams; BIS(1-MERCAPTOPROPYL) SULFIDE<br />&diams; 1-propanethiol, 1,1'-thiobis-<br />&diams; 1,1'-thiobis-1-propanethiol<br />&diams; InChI=1/C6H14S3/c1-3-5(7)9-6(8)4-2/h5-8H,3-4H2,1-2H3<br />&diams; InChIKey: MPDULAQZHPFPOG-UHFFFAOYSA-N"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4297"),=T("23"),,,=T("1709")
" 1618-26-4"," BIS-(METHYLTHIO)METHANE"," &diams; BIS(METHYLTHIO)METHANE<br />&diams; BIS(METHYLMERCAPTO)METHANE<br />&diams; FORMALDEHYDE DIMETHYL DITHIOACETAL<br />&diams; FORMALDEHYDE DIMETHYL MERCAPTAL<br />&diams; METHANE, BIS(METHYLTHIO)-<br />&diams; METHYLENE BIS(METHYL SULFIDE)<br />&diams; THIOFORMALDEHYDE DIMETHYL ACETAL<br />&diams; 2,4-DITHIAPENTANE"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3878"),=T("18"),,,=T("533")
" 28588-75-2"," BIS(2-METHYL-3-FURYL) DISULFIDE"," &diams; BIS(2-METHYL-3-FURYL) DISULFIDE<br />&diams; FURAN, 3,3'-DITHIOBIS(2-METHYL-<br />&diams; 2-METHYL-3-FURYL DISULFIDE<br />&diams; 3,3'-DITHIO-2,2'-DIMETHYLDIFURAN<br />&diams; 3,3'-DITHIOBIS(2-METHYLFURAN)"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3259"),=T("5"),,,=T("1066")
" 4032-80-8"," BIS(2-METHYLPHENYL) DISULFIDE"," &diams; O-TOLYL DISULFIDE<br />&diams; bis(2-methylphenyl) disulfide<br />&diams; di-o-tolyl disulfide<br />&diams; disulfide, bis(2-methylphenyl)"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4576"),=T("24"),,,=T("1931")
" 28588-76-3"," BIS(2-METHYL-3-FURYL) TETRASULFIDE"," &diams; BIS(2-METHYL-3-FURYL) TETRASULFIDE<br />&diams; FURAN, 3,3'-TETRATHIOBIS(2-METHYL-<br />&diams; 2-METHYL-3-FURYL TETRASULFIDE<br />&diams; 3,3'-TETRATHIOBIS(2-METHYLFURAN)"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3260"),=T("5"),,,=T("1068")
" 977047-53-2"," BLACKBERRY BARK, EXTRACT (RUBUS, SPP. OF SECTION EUBATUS)"," &diams; BLACKBERRY BARK EXTRACT"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.510"),,,,,,,,,,,,,,,,,,,,,,=T("2155"),=T("3"),,,
" 84787-69-9"," BLACKBERRY FRUIT EXTRACT"," &diams; BLACKBERRY EXTRACT<br />&diams; BLACKBERRY FRUIT EXTRACT<br />&diams; RUBUS FRUTICOSUS, EXT."," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 8015-77-8"," BOIS DE ROSE, OIL (ANIBA ROSAEODORA DUCKE)"," &diams; BOIS DE ROSE OIL<br />&diams; ANIBA ROSAEODORA OIL<br />&diams; OILS, BOIS DE ROSE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("182.20"),,,,,,,,,,,,,,,,,,,,,,=T("2156"),=T("3"),,,
" 977052-75-7"," BOLDUS LEAVES (PEUMUS BOLDUS MOL.)"," &diams; BOLDO<br />&diams; BOLDUS<br />&diams; BOLDUS LEAF<br />&diams; BOLDO LEAF<br />&diams; PEUMUS BOLDUS",,,,,,,,=T("172.510"),,,,,,,,,,,,,,,,,,,,,,,,,,
" 977138-71-8"," BONITO, DRIED"," &diams; BONITO, DRIED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 10043-35-3"," BORIC ACID"," &diams; BORIC ACID<br />&diams; BORACIC ACID<br />&diams; BORIC ACID (H3BO3)<br />&diams; BORON TRIHYDROXIDE<br />&diams; TRIHYDROXYBORANE<br />&diams; ORTHOBORIC ACID"," LUBRICANT OR RELEASE AGENT",,,,,,,=T("175.105"),=T("176.180"),=T("178.2010"),=T("181.30"),,,,,,,,,,,,,,,,,,,,,,,
" 507-70-0"," BORNEOL"," &diams; BORNEOL<br />&diams; BAROS<br />&diams; BORNEOCAMPHOR<br />&diams; BORNYL ALCOHOL<br />&diams; CAMPHOL<br />&diams; 2-BORNANOL, ENDO-<br />&diams; 2-CAMPHANOL, ENDO-<br />&diams; 2-HYDROXYCAMPHANE, ENDO-<br />&diams; 1,7,7-TRIMETHYLBICYCLO(2.2.1)HEPTAN-2-OL<br />&diams; 2-BORNANOL<br />&diams; 2-CAMPHANOL<br />&diams; 2-HYDROXYBORNANE<br />&diams; 2-HYDROXYCAMPHANE<br />&diams; BICYCLO(2.2.1)HEPTAN-2-OL, 1,7,7-TRIMETHYL-, (1R,2S,4R)-REL-<br />&diams; 1,7,7-TRIMETHYLBICYCLO(2.2.1)HEPTAN-2-OL, ENDO-<br />&diams; 2-HYDROXY-1,7,7-TRIMETHYLNORBORNANE, ENDO-<br />&diams; 2-ENDO-BORNYL ALCOHOL<br />&diams; BORNEOL, (+-)-<br />&diams; BORNEOL, DL-<br />&diams;"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2157"),=T("3"),,,=T("1385")
" 76-49-3"," BORNYL ACETATE"," &diams; BORNYL ACETATE<br />&diams; BORNEOL, ACETATE<br />&diams; BORNYL ETHANOATE<br />&diams; 2-CAMPHANYL ACETATE<br />&diams; BICYCLO(2.2.1)HEPTAN-2-OL, 1,7,7-TRIMETHYL-, ACETATE, ENDO-<br />&diams; 1,7,7-TRIMETHYLBICYCLO(2.2.1)HEPTAN-2-YL ACETATE, ENDO-<br />&diams; 2-ENDO-BORNYL ACETATE<br />&diams; BORNYL ACETATE, ENDO-"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2159"),=T("3"),,,=T("1387")
" 5655-61-8"," L-BORNYL ACETATE"," &diams; BORNYL ACETATE, L-<br />&diams; BORNEOL, ACETATE, (1S,2R,4S)-(-)-<br />&diams; BICYCLO(2.2.1)HEPTAN-2-OL, 1,7,7-TRIMETHYL-, ACETATE, (1S-ENDO)-<br />&diams; 1,7,7-TRIMETHYLBICYCLO(2.2.1)HEPTAN-2-YL ACETATE, (1S-ENDO)-<br />&diams; bicyclo(2.2.1)heptan-2-ol, 1,7,7-trimethyl-, acetate, (1S,2R,4S)-<br />&diams; bornyl acetate, (-)-"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4080"),=T("22"),,,=T("1864")
" 13109-70-1"," BORNYL BUTYRATE"," &diams; BORNYL BUTYRATE<br />&diams; BORNEOL, BUTYRATE<br />&diams; BUTYRIC ACID, 2-BORNYL ESTER<br />&diams; BUTANOIC ACID, (1R,2S,4R)-1,7,7-TRIMETHYLBICYCLO(2.2.1)HEPT-2-YL ESTER, REL-<br />&diams; 1,7,7-TRIMETHYLBICYCLO(2.2.1)HEPT-2-YL BUTANOATE, ENDO-<br />&diams; BORNYL BUTANOATE"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3907"),=T("19"),,,=T("1412")
" 7492-41-3"," BORNYL FORMATE"," &diams; BORNYL FORMATE<br />&diams; 2-BORNANYL FORMATE, ENDO-<br />&diams; BORNEOL, FORMATE<br />&diams; BORNYL METHANOATE<br />&diams; 2-CAMPHANYL FORMATE<br />&diams; BICYCLO(2.2.1)HEPTAN-2-OL, 1,7,7-TRIMETHYL-, FORMATE, ENDO-<br />&diams; 1,7,7-TRIMETHYLBICYCLO(2.2.1)HEPTAN-2-YL FORMATE, ENDO-"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2161"),=T("3"),,,=T("1389")
