Downloaded from FDA Substances Added to Food <em>(formerly EAFUS)</em>; http://www.cfsanappsexternal.fda.gov/scripts/fdcc/?set=FoodSubstances; Last updated 5/19/2021; downloaded 9/28/2021.

"It is important to note that the inventory is only a partial list of food ingredients. Inclusion in this inventory of information from non-FDA entities does not indicate an FDA approval or evaluation of this use.  Always check the FDA regulations."

CAS Reg No (or other ID),Substance,Other Names,Used for (Technical Effect),Reg col01,Reg col02,Reg col03,Reg col04,Reg col05,Reg col06,Reg add01,Reg add02,Reg add03,Reg add04,Reg add05,Reg add06,Reg add07,Reg add08,Reg add09,Reg add10,Reg add11,Reg add12,Reg add13,Reg add14,Reg add16,Reg add17,Reg add18,Reg add19,Reg add20,Reg prohibited189,Reg Administrative,regs Labeling & Standards ,FEMA No,GRAS Pub No,Most Recent GRAS Pub Update,FEMA status,JECFA Flavor Number
" 6986-51-2"," ACETALDEHYDE ETHYL ISOBUTYL ACETAL"," &diams; ACETALDEHYDE ETHYL ISOBUTYL ACETAL<br />&diams; propane, 1-(1-ethoxyethoxy)-2-methyl-<br />&diams; 1-(1-ethoxyethoxy)-2-methylpropane<br />&diams; acetaldehyde, ethyl isobutyl acetal<br />&diams; ethane, 1-ethoxy-1-isobutoxy-<br />&diams; 1-ethoxy-1-isobutoxyethane<br />&diams; InChI=1S/C8H18O2/c1-5-9-8(4)10-6-7(2)3/h7-8H,5-6H2,1-4H3<br />&diams; InChIKey: YEKSEJHZJGHKBN-UHFFFAOYSA-N"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4528"),=T("24"),,,
" 25334-93-4"," (+/-)-ACETALDEHYDE ETHYL ISOPROPYL ACETAL"," &diams; 2-(1-ETHOXY)ETHOXYPROPANE<br />&diams; propane, 2-(1-ethoxyethoxy)-<br />&diams; 2-(1-ethoxyethoxy)propane<br />&diams; acetaldehyde, ethyl isopropyl acetal<br />&diams; ethyl isopropyl acetal acetaldehyde<br />&diams; ethane, 1-ethoxy-1-isopropoxy<br />&diams; 1-ethoxy-1-isopropoxyethane<br />&diams; acetaldehyde ethyl isopropyl acetal"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4432"),=T("24"),,,
" 233665-90-2"," ACETALDEHYDE HEXYL ISOAMYL ACETAL"," &diams; ACETALDEHYDE HEXYL ISOAMYL ACETAL<br />&diams; hexane, 1-(1-(3-methylbutoxy)ethoxy)-<br />&diams; 1-(1-(3-methoxybutoxy)ethoxy)hexane"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4365"),=T("23"),,,=T("1727")
" 202188-43-0"," ACETALDEHYDE 1,3-OCTANEDIOL ACETAL"," &diams; ACETALDEHYDE 1,3-OCTANEDIOL ACETAL<br />&diams; InChI=1S/C10H20O2/c1-3-4-5-6-10-7-8-11-9(2)12-10/h9-10H,3-8H2,1-2H3<br />&diams; InChIKey: NZTUUEJEMACERX-UHFFFAOYSA-N<br />&diams; 1,3-dioxolane, 2-methyl-4-pentyl-<br />&diams; 2-methyl-4-pentyl-1,3-dioxolane"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4376"),=T("23"),,,=T("1749")
" 7493-57-4"," ACETALDEHYDE PHENETHYL PROPYL ACETAL"," &diams; ACETALDEHYDE PHENETHYL PROPYL ACETAL<br />&diams; ACETAL R<br />&diams; (2-(1-PROPOXYETHOXY)ETHYL)BENZENE<br />&diams; BENZENE, (2-(1-PROPOXYETHOXY)ETHYL)-<br />&diams; ACETALDEHYDE, PHENETHYL PROPYL ACETAL<br />&diams; PEPITAL<br />&diams; PROPYL PHENETHYL ACETAL<br />&diams; PHENETHYL PROPYL ACETAL<br />&diams; 1-PHENETHOXY-1-PROPOXYETHANE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2004"),=T("3"),=T("25"),,=T("1000")
" 60-35-5"," ACETAMIDE--NLFG"," &diams; ACETAMIDE<br />&diams; ETHANAMIDE<br />&diams; InChI=1S/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)<br />&diams; InChIKey: DLFVBJFMPXGRIB-UHFFFAOYSA-N"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,," NLFG-4251",=T("22"),=T("24")," No longer FEMA GRAS (GRAS Pub. 24, 2009)",
" 100-06-1"," ACETANISOLE"," &diams; ACETANISOLE<br />&diams; 4'-METHOXYACETOPHENONE<br />&diams; METHOXYACETOPHENONE, P-<br />&diams; ACETYLANISOLE, P-<br />&diams; METHYL 4-METHOXYPHENYL KETONE<br />&diams; NOVATONE<br />&diams; 4-ACETYLANISOLE<br />&diams; ETHANONE, 1-(4-METHOXYPHENYL)-<br />&diams; 1-(4-METHOXYPHENYL)ETHANONE<br />&diams; ACETOPHENONE, 4'-METHOXY-<br />&diams; ANISYL, P-, METHYL KETONE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2005"),=T("3"),=T("25"),,=T("810")
" 64-19-7"," ACETIC ACID"," &diams; ACETIC ACID<br />&diams; ETHANOIC ACID<br />&diams; ACETIC ACID, GLACIAL<br />&diams; GLACIAL ACETIC ACID"," ANTIMICROBIAL AGENT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> PH CONTROL AGENT",=T("73.85"),,,,,,=T("172.814"),=T("173.370"),=T("184.1005"),,,,,,,,,,,,,,,,,,," 133.123 ,  133.124 ,  133.169 ,  133.173 ,  133.178 ,  133.179",=T("2006"),=T("3"),=T("25"),,=T("81")
" 108-24-7"," ACETIC ANHYDRIDE"," &diams; ACETIC ANHYDRIDE<br />&diams; ACETIC ACID ANHYDRIDE<br />&diams; ACETIC OXIDE<br />&diams; ACETYL ACETATE<br />&diams; ACETYL ANHYDRIDE<br />&diams; ACETYL ETHER<br />&diams; ACETYL OXIDE<br />&diams; ETHANOIC ANHYDRIDE<br />&diams; ACETIC ACID, ANHYDRIDE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.892"),,,,,,,,,,,,,,,,,,,,,,,,,,
" 513-86-0"," ACETOIN"," &diams; ACETOIN<br />&diams; ACETYL METHYL CARBINOL<br />&diams; 3-HYDROXY-2-BUTANONE<br />&diams; ACETHOIN<br />&diams; DIMETHYLKETOL<br />&diams; GAMMA-HYDROXY-BETA-OXOBUTANE<br />&diams; 2,3-BUTANOLONE<br />&diams; 2-BUTANONE, 3-HYDROXY-<br />&diams; 1-HYDROXETHYL METHYL KETONE<br />&diams; 3-hydroxybutan-2-one, (+-)-<br />&diams; acetoin, (+-)-<br />&diams; acetoin, dl-<br />&diams; acetylmethylmethanol"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("182.60"),,,,,,,,,,,,,,,,,,,,,,=T("2008"),=T("3"),=T("25"),,=T("405")
