CASRN	chemical_id	function_used	oecd	presence_name	presence_definition	PUC	class_combine
107-06-2	36287-267221-271277-271280-271336-271337-271341-271361-271365-271369-271376-271379-271382-271388-271389-273477-273482-273487-273520-273536-273539-273543-273546-274252-274284-281148-287036-288544-288951-291468-304450-304451-311117-311118-311119-311120-313160-313161-315381-315382-315383-317373-323247-329973-334773-334957-335183-335184-338481-341992-342259-342460-343792-344748-355067-359222-361796-367127-371579-371894-374786-379664-400214-407841-407989-426679-435915-473130-475554-475555-482149-483518-483558-484336-487066-487067-510989-527748-532554-532562-532930-547383-557822-565148-584318-584340-586311-586379-590179-596946-601205-602046-604345-607505-607868-613450-617387-627388-628701-629134-629199-635682-635683-645363-658280-686103-686706-693822-696809-703794-706792-708998-724531-745106-754277-761199-776413-776443-788048-793116-793120-797506-797509-797531-802821-804581-820106-821879-824206-824364-824467-824554-842183-843863-846848-862546-865464-866016-869357-871552-878454-881450-881470-881490-907879-914121-916209-933543-942376-948317-949122-949147-949172-949901-957728-966962-972236-978214-978216-978218-983596-984971-986261-1007920-1093725-1093875-1095224-1116106-1133791-1150103-1154129-1166449-1166451-1166453-1166769-1171169-1171188-1181730-1182197-1182225-1250751-1250772-1250817-1253527-1260100-1263270-1265328-1299110-1299944-1302484-1317185-1317186-1321460-1322935-1377768-1476590-1482306-1487166-1544508-1561984-1562600-4709164-4728973-4855630			Environmental+Consumer products+Diet+Pesticides	Consumer products+Pesticides	Industrial+Consumer products	Industrial+Consumer products+Pesticides+Environmental+Diet
107-13-1	273266-278804-278816-285366-290386-345312-363935-364596-370529-370916-392469-470819-470823-470825-474512-482971-486543-500447-500486-500500-500511-500533-502682-502767-503258-519211-534289-534349-555460-579064-585949-587128-588400-588412-590297-602211-609950-613017-618239-623159-625942-627525-630475-630487-630513-630540-630551-630577-630604-630615-630641-630668-630679-630706-630718-630744-630771-630782-630808-630835-630846-630872-630897-630906-630932-641689-653725-653760-653781-653801-653836-653856-661964-754643-792805-801754-826367-842357-843111-843116-843133-843144-843148-843166-843176-853319-861330-867030-867844-867852-867857-867868-867871-867884-867894-867900-867908-867914-867924-867928-867940-867945-867956-867965-867972-867980-867986-867996-868000-868012-868017-868028-868037-868044-868052-868058-868068-871452-876516-906686-955454-973106-975603-977120-986119-1031497-1031509-1036369-1036394-1036419-1083127-1084056-1090816-1095043-1107135-1125588-1155119-1160176-1161492-1161497-1161502-1161507-1161512-1161517-1161522-1161527-1161532-1161537-1161542-1161547-1161552-1161557-1161562-1171410-1173041-1186462-1226548-1238905-1238930-1238955-1238980-1239005-1239030-1239055-1239080-1239105-1239130-1239155-1239180-1239205-1239230-1239255-1240045-1240067-1260219-1265101-1271831-1271904-1277068-1277504-1281889-1284109-1284141-1287748-1287753-1287758-1287763-1287768-1298836-1298840-1298844-1298848-1298895-1317484-1324087-1369448-1391796-1464455-1500144-1505171-1512760-1512897-1544155-1547888-1564552-1951131-1957573-1957578-1959342-1959349-1960855-2656734-2666365-2666393-2672608-2672629-2672652-2672700-2672725-2672751-2672798-3028824-4172278-4181817-4181845-4187973-4187994-4188017-4188065-4188090-4188116-4188163-4709130-4711383-4716869-4886244-4922165			Industrial+Consumer products+Diet	Consumer products+Diet	Consumer products	Consumer products+Industrial+Diet
110559-84-7	NA	NA	NA	NA	NA	NA	No data
11097-69-1	289338-328681-336757-392725-408029-426721-514959-517409-547205-585310-586388-594006-601850-620716-620718-627044-655768-655770-655772-660740-670404-678720-678722-678724-680175-685927-686020-777960-817147-826337-829457-831810-855163-862140-862143-892988-985945-987422-987433-1000556-1000566-1000576-1000586-1000596-1000606-1000616-1000626-1006297-1007360-1045563-1121156-1167372-1187056-1187065						No data
1120-71-4	1544854						No data
113-38-2	1478538						No data
118745-11-2	NA	NA	NA	NA	NA	NA	No data
118745-12-3	NA	NA	NA	NA	NA	NA	No data
119-90-4	765781-942398-1487180-1488766-1544438-4714688					Consumer products	Consumer products
119-93-7	264336-315818-315819-340632-567558-582230-702425-753824-824740-879614-1236783-1302967-1329072-1487177-1487893-1488768-1544445-1561403-4714689-4922177			Environmental+Consumer products	Environmental+Consumer products	Consumer products	Environmental+Consumer products
121-14-2	392215-407935-426619-448465-510582-559381-584256-584361-599522-599527-718528-718791-747657-824518-824568-824747-824765-824843-829856-927030-927037-943584-943591-972259-972281-972300-979981-982313-984947-986752-1105091-1202623-1324967-1329121-1336676-1347252-1352166-1544465-4728371			Diet			Diet
121-66-4	1510568			Pesticides	Pesticides		Pesticides
