CASRN	chemical_id	function_used	oecd	presence_name	presence_definition	PUC	class_combine
110-97-4	274712-500398-570472-570483-580462-602230-643118-720536-735078-782311-820089-822877-848426-950709-966440-1013814-1015473-1015479-1482984-1500350-1505827-1640765-4489220-4495511-4495522-4495533-4495544-4497606-4497620-4497634-4497648-4498345-4498372-4498399-4500130-4501753-4503125-4769574-4855596-4861390-4861405-4861420-4861526-4918411-4919116-5127634			Consumer products+Diet+Pesticides	Consumer products+Diet+Pesticides	Industrial+Consumer products	Industrial+Consumer products+Diet+Pesticides
110235-47-7	1477372-1544632			Pesticides	Pesticides		Pesticides
110488-70-5	1461676-1462006-1462306-1462727-1463097-1463395-1463547-1463688-1463761-1463799-1463815-1463864-1463919-1463995-1464036-1464053-1464104-1464155-1464236-1464278-1464297-1464342-1464382-1464960-1465026-1465073-1465124-1465163-1465232-1465271-1465334-1465651-1468850-1469659-1470484-1471336-1472211-1473092-1473973-1474866-1475812-1477031-1478205-1511925-1512361-1534396-1534555-1535141-1535345-1535928-1536181-1540961-1541121-1541562-1541839-1542007-1542602-1548007-1567302-1567303-1568913-1568914-1569518-1569519-1569520-1569521-1570185-1570186-1570187-1570188-1570189-1571027-1571028-1571029-1571030-1571031-1571906-1571907-1571908-1571909-1967720-1967721-1967722-1968616-1968617-1968618-1968619-1968620-1969223-1969462-1969463-1969464-1969465-1969466-1969467-1970041-1970335-1970336-1970337-1970338-1971012-1972301-1972302-1972303-1972304-1972305-1972306-1972307-1972888-1973099-1973100-1973101-1973102-1973103	Pesticides		Environmental+Diet+Pesticides	Environmental+Consumer products+Pesticides		Environmental+Consumer products+Diet+Pesticides
111-34-2	617442						No data
111-71-7	873048-971271-1499534-1513177-1546172-1548768-1561807-1561890-1561956-1562033-1562616-1966307-4676994-4677061-4679049-4679171-4681788-4681858-4726895-4888751-4919795-5125529	Consumer products+Diet		Environmental+Consumer products	Consumer products	Consumer products	Environmental+Consumer products+Diet
111-77-3	263455-263674-275991-276049-292311-292608-292726-305379-305384-348099-349754-350105-350106-350107-350109-352544-355954-362027-363264-364432-375900-375907-379311-379315-379319-379523-389122-392622-394695-395393-398937-403399-408364-413337-414015-429152-429925-430111-430117-437115-441313-441692-442313-442331-442335-446981-447099-447136-447142-448809-448881-464344-472114-481267-490607-500660-502937-502975-503590-503679-519585-522096-523007-524372-524539-524544-524549-524556-524560-525151-527113-543212-547831-550200-560515-563326-563328-564269-565029-573635-575102-579531-580588-586237-587060-588560-589154-592371-600483-600608-601817-601894-602318-602486-606048-609986-610365-610366-610752-611768-612951-613354-613479-615483-616931-620639-625815-627353-635070-636783-636785-645819-647968-651264-651265-651268-652461-656270-656555-657727-660942-661672-662191-663956-665777-665788-665899-665970-667900-670837-671407-677210-678526-678541-679466-679468-681016-681018-681020-682478-682608-685668-685723-691072-691659-691666-691739-691749-691759-691769-691779-691789-691799-691809-691819-691829-691839-691849-691859-691869-691879-692060-693281-693473-693482-693753-694104-694114-694124-694134-694144-695318-695320-695625-695643-696650-698760-699960-700414-702134-703000-703227-712157-716402-716871-716874-717437-719732-721753-721754-722021-722282-722952-724754-725027-725173-725872-727600-738428-738434-738443-738453-738458-738467-744915-745738-747777-748372-749613-751083-756722-756876-756892-761066-761537-761710-763581-764479-774637-775516-775517-775536-775537-775538-782027-783561-783680-784835-785357-785370-785918-786056-789527-789736-791065-793072-796806-796954-797004-798868-801648-810142-810153-811608-811719-813309-813329-813853-817046-820998-821023-821031-821679-822132-822141-822150-822159-822168-822177-822186-822195-822204-822213-822222-822231-822240-822249-822258-822267-822276-824958-824966-831740-831741-832861-834662-834959-836657-838408-839557-839903-841796-842462-843205-843837-843941-843976-845279-845283-845285-845288-845291-845294-845297-845301-845303-845306-845309-845312-845315-845319-845321-845324-845327-845667-850781-854763-861274-862524-865633-867671-867672-867674-867676-867678-867680-869335-870417-878413-879405-880510-882329-883192-886314-886957-886963-886969-886975-886981-888149-889022-889026-889030-889033-889040-889042-889054-889061-889064-889080-889085-889096-889101-889108-889117-889127-889137-889143-889153-889163-889169-889305-889352-889353-889354-889355-889360-889434-889442-889444-889446-889460-889462-889464-894870-895664-902631-904048-904643-906264-906652-907704-912809-912819-915153-915155-915170-915188-915191-915195-915198-917870-920963-921491-925796-926201-926202-926203-926204-926214-927075-927164-929110-929620-929873-929952-930592-932930-936538-936937-936957-937895-937897-938655-938812-939008-939421-940468-941360-941480-941951-942088-944706-946229-950338-950347-950355-950363-950955-950961-954722-954726-954734-954738-954744-954748-956654-956934-956940-962625-967471-967772-971010-971037-971421-975162-975164-975166-975913-975969-975972-975975-975978-975981-975984-975987-975990-975993-975996-975999-976002-979261-980511-981496-981596-982677-983602-984214-985828-987730-988945-993349-993668-995234-995254-995268-998941-1000341-1001648-1001689-1001695-1003820-1005546-1006110-1009859-1010366-1012803-1013137-1014512-1014520-1014524-1014530-1022550-1023183-1024021-1024325-1025740-1026663-1031875-1032939-1033901-1033910-1033919-1033928-1036850-1036943-1037253-1038145-1038314-1042528-1045432-1045452-1050598-1050601-1050607-1050613-1056784-1066390-1069452-1071291-1071295-1073487-1075668-1076087-1076121-1082717-1083023-1097587-1097593-1106692-1107314-1107364-1107365-1107367-1107372-1107377-1107396-1109284-1109655-1109675-1109718-1111161-1111367-1111417-1111525-1111532-1111539-1111547-1111554-1111561-1111569-1111575-1111586-1111593-1111602-1111609-1111620-1112117-1112717-1115330-1121030-1122227-1124769-1124771-1129633-1133213-1133340-1133483-1133614-1135330-1138473-1138588-1138691-1138724-1138792-1138825-1138899-1138932-1138979-1139012-1139383-1139396-1142358-1143541-1145262-1145265-1145268-1145271-1145274-1145277-1145280-1145283-1145286-1145289-1145292-1145295-1145298-1145301-1145304-1145307-1145310-1145313-1145316-1145319-1145322-1145325-1145328-1145331-1145334-1145337-1145340-1145343-1145346-1145349-1145352-1145355-1145358-1145361-1145364-1145367-1145370-1145373-1145376-1145379-1145382-1145385-1145388-1145391-1145394-1145397-1145400-1145403-1145406-1145409-1145412-1145415-1145418-1145421-1145424-1145427-1145430-1145485-1145566-1145569-1145572-1145629-1145632-1145635-1145650-1145677-1145692-1145707-1145791-1145794-1145797-1145800-1145803-1145878-1145881-1145884-1145887-1146039-1146132-1146135-1146138-1146147-1146239-1146242-1146245-1146248-1146263-1146266-1146269-1146609-1146646-1146663-1146680-1146698-1146716-1150119-1151984-1151991-1151998-1152005-1152012-1152019-1154766-1156655-1157083-1157085-1157092-1157095-1157167-1157188-1157190-1157278-1157592-1158091-1158111-1160189-1161128-1161131-1161134-1161137-1161140-1161143-1161146-1161149-1161152-1161155-1161158-1161161-1161164-1161167-1161170-1161173-1161176-1161179-1161182-1167018-1169957-1170535-1170542-1171270-1174987-1181993-1182160-1182166-1182177-1182178-1182228-1182232-1182234-1184559-1186659-1189002-1189014-1189022-1189029-1194792-1195200-1216222-1216224-1220506-1220688-1221388-1221423-1221654-1226559-1246653-1251756-1251763-1254381-1257468-1258238-1260987-1261723-1262174-1262371-1262706-1264170-1264470-1264857-1266800-1269618-1270001-1271930-1272744-1273505-1274343-1274628-1274633-1274638-1278610-1287494-1288528-1292808-1295047-1296262-1298675-1299044-1305205-1308355-1312543-1313632-1314132-1316517-1316981-1320941-1324769-1324776-1324783-1324796-1324797-1324807-1325614-1327231-1330813-1330818-1338513-1340632-1340638-1340841-1340845-1340851-1340857-1340863-1340911-1342363-1342718-1343159-1346489-1347387-1349329-1363478-1372211-1375184-1375623-1387750-1387754-1392497-1392733-1393030-1393147-1399887-1400659-1483010-1500344-1505791-1512809-1512949-1947232-1951049-1951081-1956880-1961308-1961342-4479562-4479584-4502619-4503966-4710227-4726501-4777232-4855717	Consumer products		Consumer products+Diet+Pesticides	Consumer products+Diet+Pesticides	Consumer products	Consumer products+Diet+Pesticides
112-00-5	466158-552929-552933-552937-552938-573995-574002-574006-574010-574014-603022-642814-642819-657105-843800-874613-1281505-1414923-1415583-1415600-1415617-1419625-1423614-1423655-1423686-1423713-1424458-1432066-1432179-1432821-1432889-1432985-1433012-1433102-1436021-1436304-1436371-1436498-1436863-1436939-1439337-1439362-1440147-1440166-1483018-1546668-1547620-1547679-2735097-2735111-2735355-2735361-2735367-2735675-2735680-2735692-2735907-2735914-3572904-3573106-4352605-4352807-4900113-5127786			Consumer products+Pesticides	Consumer products+Pesticides	Consumer products	Consumer products+Pesticides
112-05-0	52939-448803-656951-671315-671319-810333-888814-922268-922382-943064-976949-1088477-1125332-1188435-1466178-1466476-1466766-1467073-1467396-1467726-1468051-1468400-1469063-1469873-1469874-1470715-1471572-1472445-1473329-1474216-1475107-1476102-1477528-1483022-1499155-1499349-1500586-1511083-1513181-1531613-1534074-1534634-1539972-1548196-1562406-1562461-1564440-1564921-4727483-4903088-4920327-5124338	Consumer products+Diet		Environmental+Consumer products+Pesticides	Environmental+Consumer products+Diet+Pesticides	Consumer products	Environmental+Consumer products+Diet+Pesticides
112-38-9	891613-950659-1235478-1393185-1469318-1470136-1470983-1471852-1472725-1473613-1474506-1475401-1476451-1478782-1499768-1511086-2734429-2734470-2841064-3427114-3427137-3786792-3786822-3786849-3789787-3789823-3815623-3815653-3815685-3820518-3876570-3891391-3895719-3929903-3977232-4290560-4290583-4361832-4361836-4724675-4769615-4775530-4894775-4913867-4920336	Consumer products+Diet		Consumer products+Pesticides	Consumer products+Pesticides	Consumer products	Consumer products+Diet+Pesticides
1121-78-4	NA	NA	NA	NA	NA	NA	No data
112733-06-9	1496774			Pharmaceuticals	Pharmaceuticals		Pharmaceuticals
1134-23-2	620605-1047819-1105069-1461661-1461991-1462283-1462703-1463080-1468805-1469613-1470438-1471290-1472161-1473044-1473924-1474818-1475760-1476504-1476956-1488209-1511879-1512381-1533956-1544351-1547932-1569448-1570104-1570914-4477308	Pesticides		Environmental+Diet+Pesticides	Environmental+Consumer products+Pesticides		Environmental+Consumer products+Diet+Pesticides
114369-43-6	1463643-1468905-1469717-1470546-1471397-1472271-1473152-1474037-1474926-1475882-1477129-1478269-1511967-1512446-1530740-1530787-1530829-1530870-1531097-1531158-1531215-1531415-1531542-1531902-1531959-1532008-1532059-1532277-1532334-1532403-1532612-1532734-1532952-1533087-1533150-1533202-1533247-1533513-1533568-1533644-1533995-1536866-1537033-1538701-1538939-1539012-1539058-1539101-1539148-1539375-1539487-1539604-1539893-1548014-1565644-1565645-1565646-1565647-1566058-1566059-1566060-1566598-1567052-1568955-1568956-1568957-1569563-1569564-1570246-1570247-1570248-1570249-1571104-1571105-1571106-1571107-1571955-1967771-1967772-1968391-1968663-1968664-1969255-1969510-1969511-1969512-1969513-1969514-1970025-1970081-1970393-1970394-1970395-1970396-1970397-1970398-1970399-1970400-1970900-1971057-1972359-1972360-1972361-1972362-1972363-1972364-1973136-1973137	Pesticides		Environmental+Diet+Pesticides	Environmental+Consumer products+Diet+Pesticides		Environmental+Consumer products+Diet+Pesticides
115-29-7	426684-601862-660159-1461682-1462012-1462144-1462205-1462314-1462496-1462594-1462735-1463104-1463250-1463306-1463402-1463553-1463602-1463628-1463693-1463765-1463819-1463843-1463924-1463999-1464057-1464095-1464160-1464240-1464301-1464333-1464386-1464423-1464449-1464965-1465030-1465076-1465111-1465168-1465236-1465342-1465556-1465809-1466114-1466411-1466704-1467003-1467327-1467654-1467984-1468328-1468879-1469688-1470515-1471367-1472242-1473123-1474006-1474899-1477067-1488261-1511091-1511719-1511742-1512714-1512737-1530765-1530901-1531183-1531302-1531534-1531728-1531885-1531936-1531995-1532373-1532451-1532726-1532905-1533122-1533612-1533685-1533985-1534270-1534373-1534561-1535118-1535241-1535351-1535709-1535906-1536023-1536187-1536610-1536823-1537023-1538169-1538247-1538290-1538329-1538367-1538416-1538457-1538507-1538563-1538693-1538857-1538999-1539038-1539087-1539175-1539459-1539530-1539594-1539883-1540098-1540141-1540316-1540487-1540535-1540713-1540893-1540940-1541127-1541327-1541372-1541444-1541567-1541774-1541823-1542013-1542290-1542382-1542608-1547981-1576543-1576606-1576643-1576678	Pesticides		Environmental+Consumer products+Diet+Pesticides	Environmental+Consumer products+Diet+Pesticides		Environmental+Consumer products+Diet+Pesticides
